audio_file,speaker,start_time,end_time,raw_text,segment_id
aashraya,aashraya,0.0,22.0,"So travelling salesman problem चाहिँ को goal चाहिँ every के रे starting node देखि starting node, starting node one छ भने every node visit गरेर one node पुग्न को लागि चाहिँ optimum shortest path चाहिँ कुन कुन path travel गर्दा which is the shortest path भनेर चाहिँ we will calculate it using simulated annealing.",aashraya_000
aashraya,aashraya,22.0,66.0,"simulated annealing भनेको चाहिँ metallurgy को [NOISE] So simulated annealing मा चाहिँ [NOISE] So simulated annealing मा चाहिँ metallurgy को concept जसले चाहिँ higher temperature देखि lower temperature मा cooling गर्दै जाँदा चाहिँ defect हरु remove हुन्छ भन्ने concept चाहिँ simulated annealing मा use हुन्छ। For temperature हाम्रो उसमा चाहिँ exploration, exploration भन्ने variable हुन्छ जसले चाहिँ every node explore गर्दा चाहिँ exploration को decay हुने rate चाहिँ घट्दै जान्छ।",aashraya_001
aashraya,aashraya,66.0,91.0,So [NOISE] So हाम्रो algorithm मा चाहिँ first मा एउटा start city भन्ने हुन्छ जुन चाहिँ हामीले default चाहिँ city one मै छ अनि हामीले आफैले पनि change गर्न मिल्छ। अनि city start city change select गरिसकेपछि चाहिँ start city बाहेक अरु सबै city हरु collect गरेर त्यसलाई shuffle गरेर अनि एउटा random route create हुन्छ।,aashraya_002
aashraya,aashraya,91.0,120.0,अनि random route create भइसकेपछि चाहिँ त्यो route मा कुनै पनि random दुइटा city हरु select गरेर त्यसलाई exchange swap गर्ने। swap गरिसकेपछि नयाँ distance calculate गर्छ अनि त्यो पहिला को distance र अहिले को distance decrease गर्दा खेरि delta आउँछ। अनि त्यो delta चाहिँ पहिला को distance भन्दा कम आयो भने चाहिँ त्यो चाहिँ better route भन्ने हुन्छ अनि त्यही भएर त्यसलाई चाहिँ select गर्ने जहिले पनि। अनि त्यो भन्दा चाहिँ बढी आयो भने चाहिँ त्यो चाहिँ worse route भयो अनि त्यसको लागि चाहिँ हामीले probability calculate गरेर select गर्ने कि नगर्ने भन्ने हुन्छ।,aashraya_003
aashraya,aashraya,120.0,142.0,अनि probability को लागि चाहिँ e को power minus delta by exploration percentage हामीले सुरुमा 100 राख्या हुन्छौँ त्यो चाहिँ each iteration मा घट्दै जान्छ। अनि त्यो probability अनुसार चाहिँ हामीले एउटा random value zero देखि one सम्म को random value select गरेर अनि त्यो random value चाहिँ probability भन्दा कम छ भने चाहिँ त्यो route select गर्ने नत्र भए नगर्ने अनि त्यस्तै iteration गर्दा गर्दै optimal solution निकाल्ने हो algorithm ले चाहिँ।,aashraya_004
aashraya,aashraya,142.0,147.0,अनि अब demo को लागि चाहिँ साथी present गर्ने छ।,aashraya_005
aashraya,aashraya,147.0,163.0,[noise] अब चाहिँ हामी demo हेरौँ। हामीले layout मा चाहिँ city को different different layout हरु राख्न सक्छौँ जस्तो अहिले हामीले random city select गरिरहेको छौँ [NOISE] random city select गरिरहेको छौँ त्यसलाई चाहिँ हामीले circular या grid pattern मा पनि राख्न मिल्छ।,aashraya_006
aashraya,aashraya,163.0,177.0,त्यसै गरि city count चाहिँ [NOISE] city count चाहिँ हामीले 8 to 15 राख्न मिल्छ। अहिले को लागि हामीले 10 select गरेका छौँ र त्यस पछाडि हामीले start city अहिले लाई 1 select गरेका छौँ। त्यहाँ भएको city हरु मध्ये जुन city पनि select गर्न मिल्छ।,aashraya_007
aashraya,aashraya,177.0,210.0,अब को लागि हामी [NOISE] first मा हामी 2 रे गरौँ [NOISE]। यो new cities button ले चाहिँ cities को location हरुलाई change गर्दिन्छ map मा। एकचोटी गरेर हेर्दा खेिर अब position हरु सबै change भयो starting node चाहिँ same छ number of cities पनि same छ।,aashraya_008
aashraya,aashraya,210.0,228.0,त्यसै गरि यदि हामीले यता पट्टि route generate गर्यौँ भने चाहिँ अहिले को connection हरु भन्दा different connection मा हाम्रो output आउँछ। अब यो सबै possible paths हरु मध्येको optimum path चाहिँ हामीले find shortest tour बाट थाहा पाउन सक्छौँ।,aashraya_009
aashraya,aashraya,228.0,252.0,"यसरी हाम्रो iterations हरु भएपछि calculate हुन्छ र यहाँ निर हामीले current tour कुन हो र best path थाहा पाउन सक्छौँ 1, 9, 10 [NOISE / VOICE: ओए हल्लाएन है हल्लाएन, हँ? किन हल्लाको त?] 4, 7, 6, 5 हुँदै फेरि 1 मा पुग्ने यो चाहिँ हाम्रो shortest path हुने हुन्छ। thank you.",aashraya_010
mukesh,mukesh,0.0,17.0,"अ... so हाम्रो project चाहिँ Support Vector Machine for heart disease prediction हो। Basically heart disease prediction गर्नका लागि Support Vector Machine algorithm implement गरेका छौँ। Support Vector Machine चाहिँ एउटा supervised machine learning algorithm हो, जुन चाहिँ classification र regression दुइटैका लागि use हुन्छ।",mukesh_000
mukesh,mukesh,17.0,36.0,हामीले चाहिँ यसमा classification का लागि use गरेका छौँ। Support Vector Machine को main focus चाहिँ एउटा hyperplane find गर्ने हो such that कि margin maximum होस् दुइटै class देखि। अ... so यो skip गर्दा भयो।,mukesh_001
mukesh,mukesh,36.0,52.0,So हामीले चाहिँ Support Vector Machine scratch देखि implement गरेका छौँ for linear र RBF kernel का लागि। त्यसको लागि चाहिँ dataset UCI heart disease dataset भन्ने एउटा dataset use गरेका छौँ जुन चाहिँ small देखि medium size को भन्दा हुन्छ।,mukesh_002
mukesh,mukesh,52.0,80.0,So हामीले चाहिँ Support Vector Machine classification problem का लागि use गरेको भएर अब त्यसको बारेमा theory explain गर्दैछु। So Support Vector Machine को main objective चाहिँ यस्तो hyperplane find गर्ने हो such that कि यो बीचको margin चाहिँ maximum होस्।,mukesh_003
mukesh,mukesh,80.0,102.0,"अब यसमा चाहिँ support vector भनेको चाहिँ यो margin देखिको सबभन्दा नजिकको point लाई चाहिँ support vectors भनिन्छ। अ... यो चाहिँ हाम्रो linear support vector machine भयो, जसका लागि चाहिँ यो equation ले चाहिँ हामीलाई plane को कुन side मा पर्छ भनेर चाहिँ explain गर्छ।",mukesh_004
mukesh,mukesh,102.0,124.0,यसमा हाम्रो main target चाहिँ margin लाई maximize गर्ने हुन्छ। So त्यसका लागि यो यसलाई चाहिँ 1/2 W square को value लाई चाहिँ minimize गर्नुपर्ने हुन्छ under these constraints। So त्यसपछि आउँछ linear बाट चाहिँ हामीले RBF kernel use गरेका छौँ।,mukesh_005
mukesh,mukesh,124.0,137.0,त्यसका लागि चाहिँ Lagrange formulation use हुन्छ। Basically यसमा चाहिँ weight र bias (W र b) को value लाई चाहिँ एउटा नयाँ parameter alpha मा convert गर्छौँ जसलाई चाहिँ हामीले Lagrange formulation भन्छौँ।,mukesh_006
mukesh,mukesh,137.0,161.0,So त्यो use गरेपछि चाहिँ हामीले अब normal linear data छैन भने चाहिँ त्यसलाई चाहिँ अरु high dimensional मा convert गरेर एउटा hyperplane find गर्न सकियो such that classification चाहिँ सजिलो होस्। So हामीले चाहिँ त्यसको लागि RBF र linear दुइटा गरेका छौँ। So next बिकास।,mukesh_007
mukesh,mukesh,161.0,184.0,"हामीले RBF kernel अनि त्यो सँगै चाहिँ Sequential Minimal Optimization पनि use गरेका छौँ। जसले के गर्छ भन्दाखेरि optimum result gain गर्नको लागि help गर्छ। अनि यसमा चाहिँ के हुन्छ भन्दाखेरि curve लाई चाहिँ हामीले राम्रोसँग छुट्याउन सक्यौँ भने बल्ल हाम्रो predict गर्न सजिलो हुन्छ नि त, accurate हुन्छ नि त।",mukesh_008
mukesh,mukesh,184.0,207.0,"त्यसको लागि SMO use गरिन्छ। यसमा चाहिँ के गरिन्छ भन्दाखेरि जुन हाम्रो Lagrange multiplier छ नि, त्यो दुइटा लिन्छौँ अनि त्यसलाई चाहिँ iteratively हाम्रो सबै जुन जबसम्म हाम्रो दुइटा पहिलाको old value र new value equal आउँदैन, तबसम्म चाहिँ हामीले optimum त्यो निकाल्छौँ।",mukesh_009
